APPL_NO,FORM,STRDADDRESS,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE,ZONING,PD_NO,SD_NO
200911252140,3,389 UPPER TR,2629A,025,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-3,6,8
201010122693,8,235 TOCOLOMA AV,5072,040,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,10,10
200910138815,8,71 TEDDY AV,6236,038,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10
201108021530,8,487 SUNRISE WY,6374,024,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10
201011044373,8,601 SILVER AV,5896,008,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11
201105206444,8,669 SHRADER ST,1249,021,1,-1,,,L,2 FAMILY DWELLING,1 FAMILY DWELLING,,RH-3,6,5
201101258990,8,51 SEVILLE ST,6443,032,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11
201008168870,8,154 SEARS ST,7145,042,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11
201011024173,8,77 SALA TR,7044C,002,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11
201009281777,8,180 PEABODY ST,6305,016,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10
201010213545,8,2539 ORTEGA ST,2102,035,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4
201104214511,8,825 OCEAN AV,6947,001B,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,13,11
201110257536,8,64 MONETA WY,7096B,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11
201104113804,8,48 MAJESTIC AV,7049,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,13,11
201104043393,8,714 MADRID ST,6343,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11
201004029574,8,1067 INGERSON AV,4969,036,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,10,10
201103071558,8,61 INA CT,6003,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,11
201006073953,8,1855 GENEVA AV,6327,016,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,12,10
201106248862,8,179 CRESTMONT DR,2675,046,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1(D),14,7
200907213093,8,275 CHATTANOOGA ST,3649,018,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,7,8
201006073939,8,72 BROAD ST,7108,023,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,13,11
201011175159,8,56 BITTING AV,5428C,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,M-1,10,10
201011295715,8,2242 46TH AV,2304,011,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4
201007297742,8,1574 45TH AV,1890,022,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4
201102049715,8,1642 44TH AV,1900,034,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4
201102049671,8,2778 40TH AV,2508,019A,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4
201106137937,8,1355 37TH AV,1792,004,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-1,15,4
201006255307,8,1491 19TH AV,1834,013,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,15,4
200902232589,3,263 DORLAND ST,3580,035,2,1,SEC,SEC,A,1 FAMILY DWELLING,2 FAMILY DWELLING,,RM-1,7,8
201005102109,8,1226 10TH AV,1741,040,1,-1,,,L,1 FAMILY DWELLING,1 FAMILY DWELLING,,RH-2,14,5
201001134660,3,3131 MISSION ST,5501,048,1,-1,,,CC,2 FAMILY DWELLING,CLINICS-MEDIC/DENTAL,,NC-3,11,9
