STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA
2937 PIERCE ST,,536,2,1,-1,,,,2 FAMILY DWELLING,1 FAMILY DWELLING,9/3/2013,RH-1,13,7,
306 BRAZIL AV,,6080,43,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/20/2013,RH-3,9,10,Eastern Neighborhoods
306 MUNICH ST,,6074,2,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/2/2013,RH-2,1,1,
348 POINT LOBOS AV,,1482,11,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/17/2013,RH-1 (D),15,4,
349 BANKS ST,,5685,19,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/21/2013,RH-1,13,11,
358 HEARST AV,,3117,20,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,8/9/2013,RM-1,10,10,Bayview
367 HEAD ST,,7117,5,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,4/23/2013,CCB,3,3,Chinatown
400 AVALON AV,,6009,50,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/30/2013,RM-1,10,10,Bayview
4005 FOLSOM ST,,5727,29,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,7/8/2013,UMU,9,10,Eastern Neighborhoods
415 LYON ST,,1198,5,8,-1,,,,APARTMENTS,APARTMENTS,3/25/2013,RH-2,10,10,Bayview
4150 SAN BRUNO AV,,6236,60,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/9/2013,RH-1,12,10,Visitacion Valley
422 VICENTE ST,,2416,,-1,-1,,,Demolition,1 FAMILY DWELLING,,10/24/2013,RH-1,12,11,
43 BRIDGEVIEW DR,,5337,10,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,5/3/2013,RH-1,13,11,
437 HOFFMAN AV,,6503,24,1,-1,,,,2 FAMILY DWELLING,1 FAMILY DWELLING,7/12/2013,RED ,4,6,West Soma
45 BURNSIDE AV,,6736,17,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/4/2013,RH-2,1,1,
48 MAJESTIC AV,,7049,11,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/28/2013,CCB,3,3,Chinatown
494 PACHECO ST,,2126,23,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,10/15/2013,RH-2,1,1,
50 CARR ST,,5462,14,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/22/2013,RH-2,7,8,
520 LAKEVIEW AV,,7019,22,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/24/2013,RH-2,1,1,
