STDADDRESS,PRJ_NAME,BLOCK,LOT,UNITS,NETUNITS,AFF_HSG,AFF_TARGET,CNG_TYPE,EXISTUSE,PROPUSE,ACTDATE, Zoning,PD_NO,SD_NO,PLANAREA,LAT_LNG,ZIP_CODE,ZILLOW_ID,RENT_ESTIMATE,HOUSE_SIZE
921 POST ST,,302,,4,1,,,Expansion,APARTMENTS,APARTMENTS,4/16/2013,NC-2,9,10,Eastern Neighborhoods,"[37.787026, -122.4170743]",94109,2131930903,6700,
926 SHOTWELL ST,,3641,75,2,1,1,SEC,Expansion,1 FAMILY DWELLING,2 FAMILY DWELLING,4/25/2013,RH-2,14,7,,"[37.7531139, -122.415545]",94110,15146890,7500,2070
929 BRODERICK ST,,1152,6,6,1,1,SEC,Expansion,APARTMENTS,APARTMENTS,7/29/2013,NCT-24TH-MISSION,8,9,Eastern Neighborhoods,"[37.77886600000001, -122.440652]",94115,2110548218,5900,
100 HAMILTON ST,,5931,1,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,2/21/2013,RH-2,14,7,,"[37.7294859, -122.411158]",94134,15167147,6500,4700
1044 PRAGUE ST,,6460,8,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,6/28/2013,DTR-Rincon Hill    DTR- South Beach,9,6,Rincon Hill,"[37.710361, -122.437588]",94112,15178447,4595,2571
119 JULES AV,,6987,16,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,3/11/2013,NC-1,13,11,,"[37.7204059, -122.461545]",94112,15189428,4250,2211
1190 SILVER AV,,5917,1,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,1/18/2013,RTO,6,5,Market/Octavia,"[37.7300764, -122.4124716]",94134,15166848,4500,1927
1201 35TH AV,,1715,1,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,4/10/2013,UMU,8,9,Eastern Neighborhoods,"[37.7644953, -122.4946076]",94122,15101311,5500,3264
1222 08TH AV,,1743,42,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,7/25/2013,RTO,6,5,Market/Octavia,"[37.7749295, -122.4194155]",,,,
1222 08TH AV,,1743,42,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,7/25/2013,RM-3,3,3,,"[37.7749295, -122.4194155]",,,,
1226 DE HARO ST,,4217,2,1,-1,,,,2 FAMILY DWELLING,1 FAMILY DWELLING,3/14/2013,RH-1,1,1,Geary Corridor,"[37.7542036, -122.4006122]",94107,2103471528,7600,2885
1226 FELTON ST,,5937,46,1,-1,,,,1 FAMILY DWELLING,1 FAMILY DWELLING,8/19/2013,RH-1,11,9,,"[37.7270309, -122.416965]",94134,15167383,4389,2053
123 PRECITA AV,,5501,36,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/1/2013,NCT-VALENCIA STREET,8,8,Eastern Neighborhoods,"[37.7470783, -122.4178506]",94110,15159640,5500,2530
1325 41ST AV,,1796,4,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,8/5/2013,RH-2,1,1,Geary Corridor,"[37.761952, -122.500988]",94122,15103857,5500,3090
1335 05TH AV,,1760,9,2,-1,,,,2 FAMILY DWELLING,2 FAMILY DWELLING,3/5/2013,RM-1,10,10,Bayview,"[37.763521, -122.462311]",94122,,,
134 ATHENS ST,,5959,6,-1,-1,,,Demolition,1 FAMILY DWELLING,,8/29/2013,RH-1,13,7,,"[37.72586, -122.425594]",94112,15168051,3950,750
1340 NATOMA ST,,3548,65,-1,-1,,,Demolition,1 FAMILY DWELLING,,9/4/2013,RH-1,13,11,,"[37.7676706, -122.4187104]",94103,15143132,5500,3665
